Date	P	D	E	CPI	Datef	GS10	RealP	RealD	Rtotr	RealE	RealTRE	PE10
1881.01	6.19	0.27	0.49	9.42	1881.04	3.70	213.36	9.13	394.72	16.74	30.98	18.47
1881.02	6.17	0.27	0.48	9.51	1881.12	3.69	210.54	9.21	390.93	16.44	30.52	18.15
1881.03	6.24	0.28	0.48	9.51	1881.21	3.69	212.93	9.38	396.82	16.29	30.37	18.27
1881.04	6.22	0.28	0.47	9.61	1881.29	3.68	210.15	9.46	393.11	15.99	29.91	17.95
1881.05	6.50	0.29	0.47	9.51	1881.37	3.67	221.80	9.73	416.42	16.01	30.06	18.87
1881.06	6.58	0.29	0.47	9.51	1881.46	3.67	224.53	9.90	423.10	15.87	29.90	19.03
1881.07	6.35	0.30	0.46	9.61	1881.54	3.66	214.54	9.97	405.83	15.57	29.45	18.12
1881.08	6.20	0.30	0.46	9.80	1881.62	3.65	205.40	9.94	390.12	15.13	28.74	17.29
1881.09	6.25	0.31	0.45	10.18	1881.71	3.65	199.32	9.73	380.10	14.43	27.52	16.72
1881.10	6.15	0.31	0.45	10.28	1881.79	3.64	194.32	9.79	372.11	14.16	27.12	16.26
1881.11	6.19	0.32	0.44	10.18	1881.87	3.63	197.41	10.05	379.64	14.17	27.24	16.48
1881.12	6.01	0.32	0.44	10.18	1881.96	3.63	191.67	10.21	370.23	14.03	27.11	15.96
1882.01	5.92	0.32	0.44	10.18	1882.04	3.62	188.80	10.21	366.33	14.01	27.18	15.68
1882.02	5.79	0.32	0.44	10.28	1882.12	3.62	182.94	10.11	356.60	13.85	26.99	15.15
1882.03	5.78	0.32	0.44	10.28	1882.21	3.62	182.62	10.11	357.63	13.82	27.07	15.09
1882.04	5.78	0.32	0.44	10.37	1882.29	3.62	180.95	10.02	355.98	13.67	26.90	14.92
1882.05	5.71	0.32	0.44	10.47	1882.37	3.62	177.13	9.93	350.10	13.52	26.72	14.57
1882.06	5.68	0.32	0.44	10.56	1882.46	3.62	174.61	9.84	346.75	13.37	26.56	14.33
1882.07	6.00	0.32	0.43	10.47	1882.54	3.63	186.13	9.93	371.25	13.47	26.87	15.24
1882.08	6.18	0.32	0.43	10.56	1882.62	3.63	189.99	9.84	380.58	13.32	26.68	15.53
1882.09	6.24	0.32	0.43	10.28	1882.71	3.63	197.16	10.11	396.64	13.67	27.49	16.08
1882.10	6.07	0.32	0.43	10.18	1882.79	3.63	193.58	10.21	391.15	13.77	27.82	15.76
1882.11	5.81	0.32	0.43	10.09	1882.87	3.63	187.04	10.30	379.66	13.87	28.15	15.19
1882.12	5.84	0.32	0.43	9.99	1882.96	3.63	189.79	10.40	387.01	13.97	28.50	15.38
1883.01	5.81	0.32	0.43	9.99	1883.04	3.63	188.82	10.43	386.80	13.89	28.46	15.27
1883.02	5.68	0.32	0.43	10.09	1883.12	3.63	182.85	10.36	376.35	13.68	28.16	14.76
1883.03	5.75	0.32	0.42	9.99	1883.21	3.63	186.87	10.48	386.41	13.73	28.39	15.05
